Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
11,Mason Clarke,be BEL,MF,Crystal Palace,eng Premier League,26,1997,5.1,224,261,85.8,4278,1140,113,122,92.6,88,97,90.7,26,42,61.9,0,0.0,0.0,0.0,5,22,10,2,15,Matches
12,Milan Diallo,at AUT,FW,West Ham,eng Premier League,27,1996,7.0,252,357,70.6,5028,1553,147,164,89.6,123,147,83.7,27,46,58.7,0,0.0,0.4,0.0,2,29,3,0,18,Matches
13,Emil Bakker,ar ARG,"MF,DF",Leeds United,eng Premier League,24,1999,16.4,961,1050,91.5,17872,5580,491,530,92.6,283,313,90.4,97,207,46.9,0,0.0,0.0,0.0,5,113,5,0,61,Matches
14,Sergio Barnes,fr FRA,"DF,MF",Crystal Palace,eng Premier League,28,1995,6.8,281,352,79.8,5456,1934,142,154,92.2,107,140,76.4,34,58,58.6,1,2.4,2.9,-1.4,13,28,18,0,39,Matches
15,Diego Jansen,nl NED,MF,Brentford,eng Premier League,21,2002,8.8,432,505,85.5,8296,2265,228,253,90.1,177,200,88.5,28,52,53.8,1,0.0,0.2,1.0,7,60,8,4,45,Matches
16,David El Amrani,de GER,DF,Liverpool,eng Premier League,21,2002,7.1,156,212,73.6,2472,763,78,88,88.6,90,96,93.8,15,28,53.6,0,0.4,0.9,-0.4,3,11,3,0,14,Matches
17,Maxime Nowak,ar ARG,FW,Arsenal,eng Premier League,27,1996,5.2,135,205,65.9,2923,959,79,86,91.9,67,75,89.3,23,44,52.3,0,0.0,0.0,0.0,2,13,3,1,15,Matches
18,Yusuf Lindqvist,be BEL,DF,Fulham,eng Premier League,27,1996,5.1,194,254,76.4,3177,1430,110,126,87.3,88,92,95.7,25,36,69.4,0,0.8,0.3,-0.8,4,26,6,1,10,Matches
19,Ibrahim Fischer,se SWE,FW,Wolves,eng Premier League,28,1995,5.3,172,202,85.1,3899,1232,71,83,85.5,68,79,86.1,20,40,50.0,1,0.0,0.0,1.0,5,22,4,1,19,Matches
20,Théo Gómez,co COL,DF,Manchester Utd,eng Premier League,23,2000,19.0,504,719,70.1,9421,2475,309,364,84.9,217,238,91.2,69,117,59.0,1,2.1,2.1,-1.1,5,16,11,2,41,Matches
21,Lucas Moreau,de GER,FW,Fulham,eng Premier League,28,1995,12.8,534,613,87.1,9355,3909,292,313,93.3,186,211,88.2,38,89,42.7,0,0.0,0.0,0.0,2,43,4,1,36,Matches
22,Nuno Larsen,ma MAR,MF,Manchester City,eng Premier League,25,1998,2.5,116,133,87.2,2433,924,52,55,94.5,44,49,89.8,17,29,58.6,0,0.0,0.4,0.0,4,13,6,1,13,Matches
23,Jordan Novak,co COL,FW,Manchester Utd,eng Premier League,23,2000,7.6,269,310,86.8,5131,1100,154,168,91.7,112,134,83.6,5,8,62.5,1,1.4,1.0,-0.4,3,35,3,1,23,Matches
24,Pablo Andersson,eng ENG,GK,Newcastle Utd,eng Premier League,36,1987,5.5,345,441,78.2,6879,2834,153,165,92.7,141,161,87.6,78,115,67.8,0,0.0,0.3,0.0,4,31,8,0,14,Matches
25,Milan Kowalski,be BEL,"DF,MF",Everton,eng Premier League,20,2003,10.6,340,400,85.0,6586,2366,113,120,94.2,132,138,95.7,81,142,57.0,0,0.0,0.0,0.0,10,27,14,2,45,Matches
26,Marco Horvat,eng ENG,MF,Bournemouth,eng Premier League,32,1991,3.8,172,186,92.5,3877,1384,60,65,92.3,79,92,85.9,23,29,79.3,2,0.5,0.3,1.5,12,12,13,5,27,Matches
27,Nuno Walsh,be BEL,"MF,FW",Liverpool,eng Premier League,20,2003,19.5,1352,1554,87.0,25170,4184,752,852,88.3,538,595,90.4,76,107,71.0,3,3.7,4.2,-0.7,27,207,39,1,163,Matches
28,Karim Ferrari,at AUT,GK,Aston Villa,eng Premier League,19,2004,11.2,614,907,67.7,12299,5984,340,356,95.5,315,339,92.9,117,212,55.2,0,0.3,0.2,-0.3,3,81,2,2,34,Matches
29,David Petit,be BEL,MF,Aston Villa,eng Premier League,24,1999,9.6,532,645,82.5,11560,2764,212,238,89.1,175,200,87.5,159,207,76.8,0,0.8,0.2,-0.8,12,43,11,3,60,Matches
30,Andrés Kowalski,pl POL,"DF,MF",Everton,eng Premier League,24,1999,11.8,853,870,98.0,14782,3179,443,469,94.5,276,371,74.4,14,30,46.7,3,4.5,5.0,-1.5,32,99,49,0,68,Matches
31,Noah Wright,at AUT,"DF,FW",Wolves,eng Premier League,28,1995,5.4,265,339,78.2,5043,1647,156,168,92.9,126,133,94.7,24,38,63.2,0,0.0,0.0,0.0,3,9,2,1,25,Matches
32,Leo Nielsen,dk DEN,FW,Brighton,eng Premier League,27,1996,10.8,226,281,80.4,3890,1531,113,119,95.0,100,106,94.3,31,56,55.4,2,1.4,1.5,0.6,5,19,7,1,32,Matches
33,Julien Martínez,us USA,MF,Fulham,eng Premier League,25,1998,2.0,133,165,80.6,2439,992,83,86,96.5,72,77,93.5,1,2,50.0,0,2.3,2.8,-2.3,3,14,3,0,8,Matches
34,Nicolas Walsh,uy URU,"FW,MF",Aston Villa,eng Premier League,33,1990,9.1,426,474,89.9,8347,2778,191,222,86.0,161,182,88.5,30,70,42.9,0,1.4,1.5,-1.4,2,44,1,0,49,Matches
35,Lucas Benali,eng ENG,FW,Arsenal,eng Premier League,20,2003,6.1,248,341,72.7,5096,1592,152,154,98.7,70,84,83.3,45,103,43.7,0,0.0,0.0,0.0,5,28,10,1,20,Matches
36,Emil Cissé,at AUT,DF,Leicester City,eng Premier League,26,1997,9.1,285,359,79.4,5316,1380,129,152,84.9,105,117,89.7,63,90,70.0,1,1.3,1.2,-0.3,6,20,11,1,17,Matches
37,Sota Andersson,ch SUI,DF,Manchester City,eng Premier League,29,1994,2.5,80,103,77.7,1354,226,38,42,90.5,27,33,81.8,16,28,57.1,0,0.8,0.5,-0.8,1,6,2,0,5,Matches
38,Omar Silva,co COL,MF,Newcastle Utd,eng Premier League,22,2001,8.3,265,320,82.8,4564,1201,138,147,93.9,102,115,88.7,42,58,72.4,0,2.6,2.3,-2.6,5,28,5,1,18,Matches
39,Ibrahim Costa,pt POR,"MF,DF",Chelsea,eng Premier League,24,1999,7.6,492,617,79.7,9060,2651,211,233,90.6,214,260,82.3,64,124,51.6,0,1.5,1.7,-1.5,6,68,5,3,51,Matches
40,Anton Berg,at AUT,GK,Bournemouth,eng Premier League,27,1996,24.4,1446,1873,77.2,28235,9367,913,1029,88.7,560,617,90.8,131,227,57.7,1,0.2,0.4,0.8,5,112,9,3,148,Matches
41,Takumi Kowalski,hr CRO,DF,Newcastle Utd,eng Premier League,22,2001,1.0,43,63,68.3,1043,248,26,27,96.3,21,24,87.5,8,12,66.7,0,0.0,0.1,0.0,1,6,1,1,1,Matches
42,Pedro Santos,nl NED,DF,Southampton,eng Premier League,23,2000,18.2,738,956,77.2,13838,6464,449,478,93.9,358,380,94.2,51,98,52.0,0,0.0,0.0,0.0,4,102,6,1,91,Matches
43,Youssef Hughes,br BRA,GK,Aston Villa,eng Premier League,21,2002,14.6,999,1298,77.0,19932,4887,589,668,88.2,412,488,84.4,90,142,63.4,3,1.4,1.1,1.6,12,127,13,4,78,Matches
44,Karim Bianchi,de GER,FW,Manchester Utd,eng Premier League,35,1988,12.1,505,615,82.1,9553,3587,238,267,89.1,176,215,81.9,87,133,65.4,0,0.0,0.0,0.0,6,45,7,0,43,Matches
45,Ryan Tanaka,ch SUI,MF,Everton,eng Premier League,24,1999,4.7,216,261,82.8,4072,1085,97,117,82.9,81,100,81.0,28,44,63.6,0,1.7,2.5,-1.7,7,27,15,4,26,Matches
46,Lucas Santos,ar ARG,MF,Crystal Palace,eng Premier League,24,1999,9.8,510,604,84.4,9441,2678,264,290,91.0,232,263,88.2,34,51,66.7,1,1.0,0.5,0.0,6,57,8,3,38,Matches
47,Ryan Tanaka,at AUT,FW,Southampton,eng Premier League,28,1995,11.3,396,559,70.8,7839,3305,244,289,84.4,165,208,79.3,37,62,59.7,1,0.9,0.7,0.1,8,12,17,3,46,Matches
48,Bruno Rossi,be BEL,GK,Bournemouth,eng Premier League,19,2004,7.7,392,539,72.7,6740,2100,247,258,95.7,174,206,84.5,27,75,36.0,0,0.0,0.0,0.0,0,55,0,0,41,Matches
49,Kevin Hoffmann,at AUT,FW,Nott'ham Forest,eng Premier League,29,1994,8.8,403,468,86.1,8014,2356,226,241,93.8,165,207,79.7,8,20,40.0,0,0.4,0.7,-0.4,1,40,2,0,12,Matches
50,Omar Cissé,it ITA,GK,Leeds United,eng Premier League,35,1988,11.1,648,877,73.9,10872,3296,313,359,87.2,278,334,83.2,97,184,52.7,1,0.8,0.3,0.2,4,51,6,2,83,Matches
51,Javier Bakker,it ITA,FW,Wolves,eng Premier League,25,1998,22.4,552,668,82.6,10130,4390,320,341,93.8,246,283,86.9,28,44,63.6,0,0.0,0.0,0.0,11,72,18,5,45,Matches
52,Iker Horvat,pl POL,MF,Brighton,eng Premier League,28,1995,8.7,548,607,90.3,13167,4596,246,269,91.4,190,242,78.5,54,96,56.2,0,1.2,1.8,-1.2,17,66,26,3,52,Matches
53,Samuel Fischer,nl NED,DF,Nott'ham Forest,eng Premier League,21,2002,9.6,248,318,78.0,5446,1283,121,134,90.3,88,96,91.7,51,88,58.0,1,0.6,0.0,0.4,7,26,8,4,26,Matches
54,Oscar Rizzo,eng ENG,DF,Liverpool,eng Premier League,21,2002,8.8,291,394,73.9,5961,1243,181,200,90.5,148,171,86.5,11,23,47.8,0,1.5,0.9,-1.5,1,24,1,0,26,Matches
55,Noah Rizzo,us USA,MF,Crystal Palace,eng Premier League,27,1996,14.6,938,1054,89.0,18273,7046,370,393,94.1,286,353,81.0,236,308,76.6,1,1.2,1.1,-0.2,9,140,19,1,73,Matches
56,Liam Benali,br BRA,"MF,FW",Liverpool,eng Premier League,33,1990,2.6,99,125,79.2,1766,540,61,62,98.4,25,29,86.2,18,34,52.9,0,1.1,1.2,-1.1,2,8,3,0,12,Matches
57,Julien Tanaka,co COL,DF,Fulham,eng Premier League,24,1999,4.1,103,124,83.1,2581,776,43,47,91.5,38,42,90.5,21,35,60.0,0,0.8,1.2,-0.8,3,4,5,2,5,Matches
58,Stefan Silva,hr CRO,DF,Fulham,eng Premier League,23,2000,5.6,84,104,80.8,1349,353,35,38,92.1,32,35,91.4,19,31,61.3,0,0.0,0.0,0.0,0,9,0,0,6,Matches
59,Samuel Clarke,co COL,FW,Fulham,eng Premier League,20,2003,2.8,37,51,72.5,687,268,24,26,92.3,16,19,84.2,3,6,50.0,0,0.5,1.3,-0.5,1,5,1,0,4,Matches
60,Felix Hoffmann,it ITA,DF,Tottenham,eng Premier League,27,1996,11.0,223,298,74.8,5630,1888,128,147,87.1,79,92,85.9,36,59,61.0,0,0.0,0.2,0.0,11,26,22,5,28,Matches
61,Nicolas Bakker,de GER,DF,Brighton,eng Premier League,23,2000,5.8,116,158,73.4,2074,646,84,93,90.3,57,64,89.1,0,1,0.0,0,0.0,0.5,0.0,2,11,3,0,7,Matches
62,Thomas Sánchez,se SWE,MF,Arsenal,eng Premier League,24,1999,10.2,492,584,84.2,10245,3902,181,214,84.6,237,266,89.1,63,104,60.6,0,0.0,0.5,0.0,13,23,7,6,42,Matches
63,Samuel Walsh,dk DEN,DF,Brighton,eng Premier League,32,1991,3.2,104,127,81.9,2120,740,49,54,90.7,37,41,90.2,18,32,56.2,0,0.0,0.0,0.0,2,12,2,1,11,Matches
64,Nicolas Cissé,eng ENG,"MF,FW",Aston Villa,eng Premier League,23,2000,25.1,1244,1299,95.8,25648,7713,560,614,91.2,436,503,86.7,77,182,42.3,2,2.2,2.3,-0.2,35,149,39,22,187,Matches
65,Andrés Nielsen,rs SRB,FW,Manchester Utd,eng Premier League,22,2001,14.0,741,889,83.4,15279,5437,401,440,91.1,227,261,87.0,94,188,50.0,0,0.0,0.3,0.0,5,48,4,1,81,Matches
66,Takumi Jansen,es ESP,DF,Southampton,eng Premier League,31,1992,14.1,341,385,88.6,6375,1394,169,184,91.8,133,146,91.1,34,55,61.8,0,0.0,0.1,0.0,3,9,4,2,36,Matches
67,Jordan Jansen,jp JPN,MF,Southampton,eng Premier League,24,1999,3.3,75,81,92.6,1544,483,38,44,86.4,28,33,84.8,2,4,50.0,1,0.0,0.0,1.0,3,9,5,0,9,Matches
68,Owen Diallo,uy URU,MF,Crystal Palace,eng Premier League,32,1991,4.7,329,416,79.1,6927,2355,177,183,96.7,142,169,84.0,34,64,53.1,1,2.7,2.9,-1.7,4,26,4,2,46,Matches
69,Stefan Wagner,jp JPN,DF,Tottenham,eng Premier League,21,2002,18.0,868,1071,81.0,20721,4391,473,532,88.9,319,364,87.6,131,175,74.9,0,0.0,0.2,0.0,7,89,7,1,84,Matches
70,Sota Hughes,be BEL,"DF,FW",Arsenal,eng Premier League,28,1995,5.8,159,204,77.9,2853,692,84,92,91.3,56,74,75.7,20,38,52.6,0,0.0,0.9,0.0,4,19,4,2,15,Matches
71,Anton Ferrari,eng ENG,"DF,MF",Brighton,eng Premier League,18,2005,10.6,364,442,82.4,6192,1149,162,166,97.6,136,155,87.7,69,121,57.0,1,0.0,0.2,1.0,19,48,25,12,40,Matches
72,Diego Rizzo,be BEL,DF,Chelsea,eng Premier League,24,1999,2.0,99,115,86.1,2035,962,45,50,90.0,35,41,85.4,13,24,54.2,0,0.0,0.0,0.0,2,10,2,1,15,Matches
73,Omar Kowalski,ar ARG,DF,Southampton,eng Premier League,32,1991,5.2,166,215,77.2,3477,1507,108,118,91.5,70,81,86.4,8,16,50.0,0,0.0,0.0,0.0,1,14,2,0,14,Matches
74,Oscar Hughes,es ESP,MF,Tottenham,eng Premier League,20,2003,7.0,391,503,77.7,5899,2402,217,247,87.9,136,179,76.0,48,77,62.3,1,1.5,1.2,-0.5,9,24,12,1,44,Matches
75,Julien Laurent,uy URU,DF,Brighton,eng Premier League,29,1994,25.3,1122,1358,82.6,26438,8255,506,506,100.0,359,417,86.1,318,435,73.1,0,0.6,0.6,-0.6,2,113,2,1,175,Matches
76,Nuno Petit,de GER,DF,Southampton,eng Premier League,26,1997,3.5,81,96,84.4,1598,711,40,44,90.9,33,40,82.5,6,12,50.0,0,1.4,1.7,-1.4,6,7,7,1,2,Matches
77,Omar Ferrari,ma MAR,DF,Manchester City,eng Premier League,23,2000,12.6,589,757,77.8,10456,2408,270,281,96.1,235,271,86.7,104,205,50.7,0,0.0,0.1,0.0,3,107,5,1,71,Matches
78,Pablo Costa,hr CRO,FW,Fulham,eng Premier League,16,2007,6.4,179,245,73.1,3415,1275,90,104,86.5,84,94,89.4,25,47,53.2,0,0.4,0.2,-0.4,6,17,10,3,23,Matches
79,Pedro Kowalski,ma MAR,"MF,FW",Nott'ham Forest,eng Premier League,31,1992,1.6,64,66,97.0,1282,368,27,28,96.4,24,30,80.0,5,8,62.5,0,1.8,2.4,-1.8,1,7,1,1,8,Matches
80,Callum Tanaka,be BEL,MF,Leicester City,eng Premier League,28,1995,13.1,490,570,86.0,11186,3027,193,221,87.3,165,176,93.8,117,173,67.6,1,1.0,1.0,0.0,3,56,6,0,61,Matches
81,Felix Costa,ar ARG,FW,Leeds United,eng Premier League,33,1990,5.4,174,221,78.7,3541,1421,84,100,84.0,52,60,86.7,39,61,63.9,0,0.0,0.0,0.0,2,9,3,1,18,Matches
82,Bruno Berg,de GER,"MF,FW",Southampton,eng Premier League,23,2000,7.4,459,539,85.2,9417,2691,209,230,90.9,154,170,90.6,86,139,61.9,1,0.0,0.3,1.0,4,27,4,1,27,Matches
83,Ryan Barnes,br BRA,"DF,FW",Newcastle Utd,eng Premier League,22,2001,3.5,116,142,81.7,2653,974,58,61,95.1,39,47,83.0,20,34,58.8,0,0.0,0.0,0.0,3,15,6,2,8,Matches
84,Mateo Gómez,ma MAR,MF,Newcastle Utd,eng Premier League,25,1998,37.1,1852,2137,86.7,45144,11775,940,1044,90.0,554,644,86.0,348,449,77.5,4,5.7,5.4,-1.7,14,188,17,7,176,Matches
85,Stefan Bakker,be BEL,MF,Southampton,eng Premier League,16,2007,4.2,179,225,79.6,3239,1089,90,99,90.9,88,99,88.9,18,27,66.7,0,0.4,0.5,-0.4,3,13,5,0,24,Matches
86,Omar Bakker,fr FRA,DF,Leicester City,eng Premier League,25,1998,16.0,357,505,70.7,6069,3640,206,238,86.6,184,226,81.4,26,41,63.4,1,1.1,0.9,-0.1,15,21,15,3,38,Matches
87,Owen Traoré,at AUT,"MF,DF",Arsenal,eng Premier League,23,2000,2.8,126,152,82.9,2736,1084,66,69,95.7,59,74,79.7,6,9,66.7,0,0.0,0.4,0.0,1,8,1,0,12,Matches
88,Yusuf Hoffmann,it ITA,"MF,DF",Leeds United,eng Premier League,28,1995,9.7,567,686,82.7,12415,4937,348,379,91.8,260,269,96.7,16,38,42.1,2,1.5,1.2,0.5,14,47,26,0,1,Matches
89,Luca Kovač,hr CRO,FW,Everton,eng Premier League,24,1999,14.3,589,780,75.5,14013,5138,357,383,93.2,282,302,93.4,62,95,65.3,1,1.4,1.1,-0.4,15,62,20,3,40,Matches
90,Owen Murphy,pl POL,DF,West Ham,eng Premier League,29,1994,4.4,137,173,79.2,2794,1157,71,78,91.0,65,73,89.0,11,22,50.0,0,1.5,1.7,-1.5,4,10,7,2,8,Matches
91,Erik Laurent,sn SEN,DF,Nott'ham Forest,eng Premier League,26,1997,1.8,77,109,70.6,1605,447,41,41,100.0,37,48,77.1,10,20,50.0,0,0.0,0.0,0.0,0,10,0,0,5,Matches
92,Stefan Moreau,no NOR,"DF,MF",Everton,eng Premier League,30,1993,4.4,232,249,93.2,3898,1291,97,106,91.5,63,70,90.0,52,73,71.2,1,1.7,2.3,-0.7,9,23,11,5,30,Matches
93,Kevin Sánchez,jp JPN,DF,Bournemouth,eng Premier League,32,1991,8.5,208,279,74.6,3422,1288,108,122,88.5,117,131,89.3,11,26,42.3,0,0.4,1.1,-0.4,3,27,3,2,22,Matches
94,Owen López,de GER,MF,Chelsea,eng Premier League,24,1999,5.6,343,383,89.6,7002,2420,166,178,93.3,118,133,88.7,38,72,52.8,2,2.8,2.3,-0.8,6,31,10,2,18,Matches
95,Yusuf Walsh,fr FRA,MF,Aston Villa,eng Premier League,30,1993,9.9,374,492,76.0,7011,2927,183,222,82.4,160,171,93.6,50,99,50.5,1,2.9,3.4,-1.9,15,48,24,7,22,Matches
96,Viktor El Amrani,dk DEN,DF,Aston Villa,eng Premier League,32,1991,7.4,238,313,76.0,5109,1510,128,139,92.1,128,145,88.3,18,29,62.1,0,0.1,0.3,-0.1,4,17,6,1,32,Matches
97,Samuel Murphy,no NOR,DF,Leeds United,eng Premier League,16,2007,9.9,349,433,80.6,5587,1638,179,184,97.3,121,146,82.9,74,103,71.8,1,0.5,0.8,0.5,9,30,7,1,14,Matches
98,Owen Walsh,dk DEN,MF,Crystal Palace,eng Premier League,28,1995,3.1,165,202,81.7,3424,1236,93,101,92.1,79,88,89.8,5,13,38.5,0,0.0,0.5,0.0,6,11,10,3,22,Matches
99,Marco Bakker,br BRA,DF,Nott'ham Forest,eng Premier League,32,1991,34.1,662,882,75.1,12838,4713,356,415,85.8,275,311,88.4,83,156,53.2,0,1.1,1.7,-1.1,6,73,10,2,26,Matches
100,David Dubois,se SWE,DF,Brighton,eng Premier League,25,1998,19.7,1168,1357,86.1,21381,7382,640,722,88.6,440,525,83.8,84,110,76.4,0,0.9,0.9,-0.9,5,126,4,0,110,Matches
101,Finn Greco,dk DEN,FW,West Ham,eng Premier League,24,1999,10.9,249,331,75.2,5038,1999,143,159,89.9,101,120,84.2,29,52,55.8,0,0.0,0.0,0.0,6,20,7,3,31,Matches
102,Samuel Ferrari,no NOR,MF,Crystal Palace,eng Premier League,27,1996,9.0,479,554,86.5,7403,2662,246,268,91.8,168,204,82.4,41,82,50.0,0,0.9,0.7,-0.9,4,67,5,2,52,Matches
103,Ibrahim Diallo,fr FRA,"MF,FW",Southampton,eng Premier League,29,1994,8.3,477,586,81.4,9980,3431,300,319,94.0,182,216,84.3,28,51,54.9,0,0.0,0.1,0.0,23,42,40,7,59,Matches
104,Marco Hansen,eng ENG,MF,Everton,eng Premier League,32,1991,5.9,228,257,88.7,4613,1515,112,118,94.9,85,94,90.4,29,45,64.4,0,0.3,0.3,-0.3,2,16,2,0,21,Matches
105,Jordan Moreau,pt POR,GK,Chelsea,eng Premier League,22,2001,15.6,675,876,77.1,14261,5228,328,351,93.4,367,400,91.8,78,125,62.4,1,1.6,1.4,-0.6,14,41,19,7,71,Matches
106,Callum Tanaka,es ESP,"FW,MF",Leicester City,eng Premier League,26,1997,20.5,1001,1129,88.7,19890,6674,585,609,96.1,353,394,89.6,53,126,42.1,5,4.9,4.9,0.1,26,110,16,5,72,Matches
107,Owen Tanaka,rs SRB,DF,Everton,eng Premier League,25,1998,2.6,49,62,79.0,844,259,24,25,96.0,19,21,90.5,9,16,56.2,0,0.0,0.0,0.0,0,5,0,0,5,Matches
108,Sergio Barnes,ma MAR,DF,Nott'ham Forest,eng Premier League,22,2001,27.6,248,338,73.4,4196,1371,130,136,95.6,101,128,78.9,31,74,41.9,0,0.0,0.6,0.0,4,21,2,0,32,Matches
109,Jordan Ferrari,be BEL,DF,West Ham,eng Premier League,25,1998,2.5,81,99,81.8,1487,541,49,56,87.5,30,30,100.0,7,13,53.8,0,0.0,0.0,0.0,0,6,0,0,4,Matches
110,Marco Schmidt,jp JPN,DF,Nott'ham Forest,eng Premier League,25,1998,4.0,109,146,74.7,2142,681,58,64,90.6,49,53,92.5,14,29,48.3,0,0.0,0.4,0.0,2,10,2,1,14,Matches
111,Felix Fernández,no NOR,MF,Manchester City,eng Premier League,26,1997,11.2,423,480,88.1,8744,3995,144,153,94.1,179,204,87.7,76,123,61.8,0,1.3,1.5,-1.3,3,41,3,1,13,Matches
112,Jonas Santos,us USA,DF,Nott'ham Forest,eng Premier League,21,2002,0.3,11,13,84.6,239,79,6,6,100.0,4,5,80.0,1,2,50.0,0,0.0,0.3,0.0,0,2,0,0,1,Matches
113,Samuel Jansen,ar ARG,"MF,FW",Bournemouth,eng Premier League,21,2002,5.0,188,242,77.7,4497,2200,101,109,92.7,104,117,88.9,9,16,56.2,1,2.2,2.2,-1.2,1,15,1,0,12,Matches
114,Connor Murphy,it ITA,DF,Chelsea,eng Premier League,25,1998,14.4,512,687,74.5,10953,5281,260,292,89.0,340,361,94.2,17,34,50.0,0,0.0,0.5,0.0,2,54,3,1,54,Matches
115,Jordan Wagner,pl POL,MF,Southampton,eng Premier League,25,1998,2.1,100,118,84.7,1995,615,53,57,93.0,40,49,81.6,6,12,50.0,0,0.0,0.0,0.0,4,11,4,2,8,Matches
116,Youssef Hoffmann,it ITA,"MF,DF",West Ham,eng Premier League,25,1998,5.1,128,161,79.5,2879,791,60,68,88.2,45,58,77.6,23,35,65.7,0,0.0,0.0,0.0,5,12,9,2,16,Matches
117,Mateo Fernández,se SWE,MF,Manchester City,eng Premier League,34,1989,5.8,257,306,84.0,3555,1061,140,158,88.6,121,140,86.4,5,8,62.5,1,0.0,0.2,1.0,6,26,5,2,6,Matches
118,Rafael Walsh,no NOR,DF,Chelsea,eng Premier League,24,1999,38.0,1513,1730,87.5,29835,15136,786,885,88.8,619,643,96.3,116,202,57.4,2,1.7,1.9,0.3,17,172,19,2,174,Matches
119,David Andersson,co COL,"FW,MF",Aston Villa,eng Premier League,28,1995,8.2,469,522,89.8,8510,1435,221,250,88.4,207,234,88.5,17,38,44.7,0,0.0,0.0,0.0,6,56,11,2,45,Matches
120,Ibrahim Diallo,it ITA,GK,Leeds United,eng Premier League,22,2001,6.5,338,468,72.2,6736,2454,191,217,88.0,159,185,85.9,29,66,43.9,0,0.0,0.2,0.0,4,28,7,1,48,Matches
121,Erik Moreau,rs SRB,MF,Fulham,eng Premier League,22,2001,9.0,480,576,83.3,9740,2216,256,264,97.0,185,226,81.9,52,86,60.5,0,0.0,0.0,0.0,4,50,5,1,22,Matches
122,Maxime Hughes,no NOR,MF,Bournemouth,eng Premier League,22,2001,5.3,266,343,77.6,5776,1829,140,145,96.6,92,107,86.0,44,91,48.4,3,3.1,3.8,-0.1,8,22,15,3,25,Matches
123,Callum Gómez,ch SUI,"DF,MF",Leicester City,eng Premier League,27,1996,15.0,624,678,92.0,10516,3113,289,301,96.0,196,228,86.0,108,149,72.5,2,0.0,0.3,2.0,24,74,21,2,18,Matches
124,Noah Wagner,br BRA,DF,Newcastle Utd,eng Premier League,23,2000,7.5,116,143,81.1,2817,749,55,58,94.8,62,70,88.6,11,15,73.3,0,0.0,0.0,0.0,3,12,3,1,12,Matches
125,Théo Kowalski,be BEL,DF,Fulham,eng Premier League,27,1996,5.4,325,392,82.9,6936,2827,182,193,94.3,119,139,85.6,33,60,55.0,0,0.0,0.4,0.0,5,30,7,2,38,Matches
